id_str,created_at,text,retweeted,favorite_count,in_reply_to_screen_name
1578048186987454466,2022-10-06 15:43:01+00:00,"Congressional Republicans are doubling down on their extreme position with a proposal for a national abortion ban. That means even if you live in a state where extremist Republican officials are not running the show, your right to choose will still be at risk.",False,20479,
1577834526365175808,2022-10-06 01:34:00+00:00,"I wish I could say Republicans supported our progress in reducing health care costs and strengthening Medicare. That would be good for all of America.
 
But when it actually came time to do something about inflation around the kitchen table, every one of them voted no.",False,28184,
1577793255361609728,2022-10-05 22:50:00+00:00,"Congress should codify the protections of Roe v. Wade and do it once and for all. 

But right now, we're short a handful of votes, so the only way it's going to happen is if the American people vote in November.",False,35684,
1577697879237574656,2022-10-05 16:31:01+00:00,"I signed the Bipartisan Safer Communities Act into law, the first major gun safety legislation in nearly 30 years. I’m not going to stop until I again get an assault weapons ban passed.",False,29546,
1577484468838866946,2022-10-05 02:23:00+00:00,MAGA Republicans don’t have a clue about the power of women. They are about to find out. https://t.co/akmHFkuOXS,False,43311,
1577458297669550080,2022-10-05 00:39:00+00:00,"We're not going to sit by and let Republicans throughout the country enact extreme policies to threaten access to basic health care.

That's why we have taken a number of actions to protect access to reproductive health care, including emergency medical care.",False,18292,
1577427343982870528,2022-10-04 22:36:00+00:00,"For years, there has been no check on how high or how fast Big Pharma can raise drug prices. But thanks to the Inflation Reduction Act, that ends now. 

If Big Pharma tries to raise drug prices faster than inflation, they'll be penalized and have to rebate the money to Medicare.",False,14063,
1577363929684185089,2022-10-04 18:24:01+00:00,"If you’re on Medicare and you have diabetes, your insulin is going to be capped at $35 a month.",False,56235,
1577106228697862146,2022-10-04 01:20:00+00:00,"Senator Ron Johnson said if Republicans get control of Washington, they’re coming after the Affordable Care Act again, denying protections for anyone with a preexisting condition. 

These guys never stop.",False,41349,
1577095536594788352,2022-10-04 00:37:31+00:00,"Get in, folks. We're building a better America: https://t.co/V9Mzpw8kB0 https://t.co/cMKiF0Lqwz",False,133897,
1577056149354029065,2022-10-03 22:01:00+00:00,"Today, I announced more than $60 million in funding to help coastal areas in Puerto Rico become better prepared for storms. 

In addition, nearly $700 million in infrastructure investments in Puerto Rico have been announced since I signed the Bipartisan Infrastructure Law.",False,14678,
1576748620816203777,2022-10-03 01:39:00+00:00,"My dad used to say, “Joey, don’t compare me to the Almighty. Compare me to the alternative.”

And here’s the deal: Democrats want to codify Roe. Republicans want a national ban on abortion. The choice is clear.",False,62790,
1576375412099354624,2022-10-02 00:56:00+00:00,"Republicans are always talking about the deficit. Well, guess what? The last guy increased the debt with tax cuts for big corporations. Not a penny of it was paid for. 

This year, we've reduced the deficit by more than $1 trillion.",False,87806,
1576238616078057477,2022-10-01 15:52:25+00:00,RT @POTUS: We're beginning to see the scale of the devastation in Florida which is likely to rank among the worst in the nation’s history.…,False,0,
1575976297431449600,2022-09-30 22:30:04+00:00,"In the past 24 hours, we've approved four more counties in Florida for individual disaster assistance in addition to the nine counties we announced yesterday. 

The federal government will cover 100% of the cost to clear the massive debris left in the wake of the hurricane.",False,19160,
1575640322545156096,2022-09-30 00:15:01+00:00,"My message to the people of Florida and to the country: At times like this, America comes together. We’re going to pull together as one team, as one America.",False,38924,
1575590997118943232,2022-09-29 20:59:01+00:00,"RT @POTUS: I want to thank all the first responders, National Guard and Coast Guard members, and search and rescue personnel who are workin…",False,0,
1575500147978489858,2022-09-29 14:58:01+00:00,"RT @POTUS: This morning, I spoke with Governor Ron DeSantis to discuss the steps we're taking to support Florida in response to Hurricane I…",False,0,
1574935675580948480,2022-09-28 01:35:00+00:00,"In 42 days, democracy is on the ballot. Americans will have to choose between the MAGA Republican platform—embracing extremism and the Big Lie—and Democrats, independents, and mainstream Republicans who believe in the rule of law.",False,40913,
1574896921654829070,2022-09-27 23:01:00+00:00,"This morning, we got good news about lower costs. The Department of Health and Human Services announced that the premium for Medicare Part B will decrease next year. 

For years, that fee has gone up. Now, for the first time in more than a decade, it's going to go down.",False,19135,
